rechnung_id,bestell_id,bestelldatum,lieferant,kategorie,material_id,menge,stueckpreis,gesamtbetrag,lieferzeit_tage,anomalie_typ,Flag_DoppelteRechnung,Flag_Preisabweichung,Flag_KnappUnterGrenze,Flag_Auftragssplitting,Flag_Regel,ML_Score,Flag_ML,Erkennungsquelle
INV-100364,PO-500364,2024-05-27,Eta Industriebedarf,Werkzeuge,MAT-1063,81,74.14,6005.34,10,normal,False,False,False,False,False,0.1510115214662019,False,unauffaellig
INV-100300,PO-500300,2024-07-28,Beta Metalltechnik,Bueromaterial,MAT-1049,43,14.63,629.09,8,normal,False,False,False,False,False,0.13891721179298078,False,unauffaellig
INV-100350,PO-500350,2024-01-22,Eta Industriebedarf,Werkzeuge,MAT-1000,189,41.35,7815.15,10,normal,False,False,False,False,False,0.11923677811583089,False,unauffaellig
INV-100557,PO-500557,2024-08-21,Epsilon Rohstoffe,Logistik,MAT-1069,123,178.1,21906.3,12,normal,False,False,False,False,False,0.09327670633347623,False,unauffaellig
INV-100163,PO-500163,2024-06-27,Alpha Components GmbH,Bueromaterial,MAT-1033,55,14.37,790.35,17,normal,False,False,False,False,False,0.1686511939692249,False,unauffaellig
INV-100493,PO-500493,2024-01-23,Delta Elektronik,Verpackung,MAT-1036,167,2.79,465.93,14,normal,False,False,False,False,False,0.1657002901334375,False,unauffaellig
INV-100065,PO-500065,2024-08-22,Epsilon Rohstoffe,Bueromaterial,MAT-1077,125,15.79,1973.75,13,normal,False,False,False,False,False,0.1751335039245141,False,unauffaellig
INV-100403,PO-500403,2024-02-04,Epsilon Rohstoffe,Verpackung,MAT-1000,29,2.91,84.39,15,normal,False,False,False,False,False,0.16191986898754623,False,unauffaellig
INV-100049,PO-500049,2024-01-10,Epsilon Rohstoffe,Bueromaterial,MAT-1055,100,12.91,1291.0,14,normal,False,False,False,False,False,0.18009854180972623,False,unauffaellig
INV-100499,PO-500499,2024-09-21,Eta Industriebedarf,Elektronik,MAT-1086,17,117.55,1998.35,14,normal,True,False,False,False,True,0.11550471329523548,False,nur Regel
INV-100218,PO-500218,2024-07-12,Delta Elektronik,Logistik,MAT-1028,43,307.86,13237.98,13,normal,False,False,False,False,False,0.0735944377648734,False,unauffaellig
INV-100039,PO-500039,2024-11-21,Beta Metalltechnik,Bueromaterial,MAT-1089,169,19.74,3336.06,15,normal,False,False,False,False,False,0.16084251263381244,False,unauffaellig
INV-100204,PO-500204,2024-10-31,Delta Elektronik,Logistik,MAT-1011,59,207.86,12263.74,13,normal,False,False,False,False,False,0.1178893081004379,False,unauffaellig
INV-100321,PO-500321,2024-04-27,Beta Metalltechnik,Logistik,MAT-1065,123,323.43,39781.89,9,normal,False,False,False,False,False,0.024617427431337435,False,unauffaellig
INV-100006,PO-500006,2024-09-28,Zeta Verpackung,Verpackung,MAT-1092,9,2.67,24.03,11,normal,False,False,False,False,False,0.1367992807658251,False,unauffaellig
INV-MV-1,PO-900001,2024-12-14,Theta Werkzeuge,Elektronik,MAT-1073,751,298.38,224083.38,45,multivariater_ausreisser,False,True,False,False,True,-0.24044988383079124,True,Regel + ML
INV-100405,PO-500405,2024-03-02,Delta Elektronik,Werkzeuge,MAT-1062,193,39.37,7598.41,16,normal,False,False,False,False,False,0.1163682048156292,False,unauffaellig
INV-DUP-7,PO-500592,2024-05-21,Delta Elektronik,Verpackung,MAT-1006,102,2.11,215.22,19,doppelte_rechnung,True,False,False,False,True,0.15513214965720845,False,nur Regel
INV-100420,PO-500420,2024-08-04,Theta Werkzeuge,Elektronik,MAT-1033,3,114.77,344.31,15,normal,False,False,False,False,False,0.08949264719409672,False,unauffaellig
INV-100570,PO-500570,2024-10-11,Zeta Verpackung,Bueromaterial,MAT-1086,153,15.44,2362.32,9,normal,False,False,False,False,False,0.1514989091034441,False,unauffaellig
INV-100311,PO-500311,2024-11-24,Beta Metalltechnik,Logistik,MAT-1097,193,310.64,59953.52,20,normal,False,False,False,False,False,-0.012308311281203022,True,nur ML
INV-100344,PO-500344,2024-09-16,Alpha Components GmbH,Verpackung,MAT-1058,92,108.04,9939.8,17,knapp_unter_grenze,False,True,True,True,True,0.13713434356726212,False,nur Regel
INV-100086,PO-500086,2024-02-04,Delta Elektronik,Elektronik,MAT-1072,137,122.7,16809.9,7,normal,False,False,False,False,False,0.08414063844267167,False,unauffaellig
INV-100257,PO-500257,2024-04-03,Gamma Logistik AG,Elektronik,MAT-1075,117,152.21,17808.57,13,normal,False,False,False,False,False,0.10322785672668111,False,unauffaellig
INV-100265,PO-500265,2024-04-04,Gamma Logistik AG,Elektronik,MAT-1041,124,72.3,8965.2,13,normal,False,False,False,True,True,0.1549994252450601,False,nur Regel
INV-DUP-2,PO-500357,2024-09-29,Beta Metalltechnik,Logistik,MAT-1037,68,292.84,19913.12,18,doppelte_rechnung,True,False,False,False,True,0.07504957146351027,False,nur Regel
INV-100109,PO-500109,2024-07-06,Eta Industriebedarf,Verpackung,MAT-1073,192,3.54,679.68,14,normal,False,False,False,False,False,0.1432913369103913,False,unauffaellig
INV-100148,PO-500148,2024-03-21,Delta Elektronik,Elektronik,MAT-1034,79,110.24,8708.96,22,normal,False,False,False,False,False,0.08989301261526339,False,unauffaellig
INV-100041,PO-500041,2024-04-05,Alpha Components GmbH,Verpackung,MAT-1093,76,3.11,236.36,7,normal,False,False,False,False,False,0.14210948002864238,False,unauffaellig
INV-100349,PO-500349,2024-03-02,Beta Metalltechnik,Verpackung,MAT-1019,43,2.72,116.96,10,normal,False,False,False,False,False,0.15922912465464922,False,unauffaellig
INV-100447,PO-500447,2024-06-02,Zeta Verpackung,Elektronik,MAT-1010,171,100.82,17240.22,15,normal,False,False,False,False,False,0.11610297100419553,False,unauffaellig
INV-100056,PO-500056,2024-06-22,Epsilon Rohstoffe,Bueromaterial,MAT-1035,21,11.49,241.29,22,normal,False,False,False,False,False,0.10780835616532719,False,unauffaellig
INV-SPLIT-4-3,PO-700015,2024-11-18,Alpha Components GmbH,Bueromaterial,MAT-1064,44,179.36,7891.79,7,auftragssplitting,False,True,False,True,True,0.09757096293514816,False,nur Regel
INV-100589,PO-500589,2024-10-25,Zeta Verpackung,Werkzeuge,MAT-1074,157,54.3,8525.1,10,normal,False,False,False,True,True,0.14104636003695542,False,nur Regel
INV-100268,PO-500268,2024-08-06,Theta Werkzeuge,Verpackung,MAT-1077,1,1.95,1.95,17,normal,False,False,False,False,False,0.10427983566295401,False,unauffaellig
INV-100145,PO-500145,2024-11-19,Eta Industriebedarf,Werkzeuge,MAT-1018,110,42.14,4635.4,16,normal,False,False,False,False,False,0.1635725466409274,False,unauffaellig
INV-100534,PO-500534,2024-02-08,Alpha Components GmbH,Elektronik,MAT-1005,180,59.02,10623.6,14,normal,False,False,False,False,False,0.12950865246706683,False,unauffaellig
INV-100108,PO-500108,2024-05-05,Epsilon Rohstoffe,Werkzeuge,MAT-1019,63,151.87,9567.81,14,preisanomalie,False,True,True,True,True,0.1420388618426734,False,nur Regel
INV-100024,PO-500024,2024-09-20,Gamma Logistik AG,Elektronik,MAT-1080,91,76.82,6990.62,11,normal,False,False,False,False,False,0.1515642992402716,False,unauffaellig
INV-100118,PO-500118,2024-12-01,Theta Werkzeuge,Logistik,MAT-1095,34,353.87,12031.58,9,normal,False,False,False,False,False,0.03626726815863823,False,unauffaellig
INV-100133,PO-500133,2024-02-11,Epsilon Rohstoffe,Bueromaterial,MAT-1073,15,11.78,176.7,8,normal,False,False,False,False,False,0.13117768889480153,False,unauffaellig
INV-100318,PO-500318,2024-07-04,Eta Industriebedarf,Werkzeuge,MAT-1086,125,50.13,6266.25,6,normal,False,False,False,True,True,0.11737199039903595,False,nur Regel
INV-100540,PO-500540,2024-04-14,Eta Industriebedarf,Werkzeuge,MAT-1079,144,47.81,6884.64,16,normal,False,False,False,False,False,0.15034822045471236,False,unauffaellig
INV-100082,PO-500082,2024-07-21,Delta Elektronik,Bueromaterial,MAT-1073,30,18.0,540.0,21,normal,False,False,False,False,False,0.12105978246455718,False,unauffaellig
INV-100479,PO-500479,2024-04-03,Zeta Verpackung,Werkzeuge,MAT-1096,193,55.68,10746.24,12,normal,False,False,False,False,False,0.10363809569282867,False,unauffaellig
INV-100167,PO-500167,2024-02-20,Alpha Components GmbH,Logistik,MAT-1091,64,332.92,21306.88,14,normal,False,False,False,False,False,0.0647304439421969,False,unauffaellig
INV-100077,PO-500077,2024-06-19,Zeta Verpackung,Rohmaterial,MAT-1052,95,102.14,9703.58,14,knapp_unter_grenze,False,True,True,True,True,0.15175604690601863,False,nur Regel
INV-SPLIT-4-0,PO-700012,2024-11-16,Alpha Components GmbH,Bueromaterial,MAT-1064,35,223.72,7830.07,12,auftragssplitting,False,True,False,True,True,0.10935697344478212,False,nur Regel
INV-100070,PO-500070,2024-10-08,Gamma Logistik AG,Logistik,MAT-1046,183,403.94,73921.02,22,normal,False,False,False,False,False,-0.07264734780276483,True,nur ML
INV-100535,PO-500535,2024-10-29,Theta Werkzeuge,Logistik,MAT-1071,12,294.8,3537.6,6,normal,False,False,False,False,False,0.030671455257835545,False,unauffaellig
INV-100518,PO-500518,2024-10-07,Delta Elektronik,Logistik,MAT-1028,47,273.92,12874.24,23,normal,False,False,False,False,False,0.04180736892909165,False,unauffaellig
INV-100352,PO-500352,2024-12-30,Eta Industriebedarf,Logistik,MAT-1042,28,251.01,7028.28,10,normal,False,False,False,False,False,0.09210224526204958,False,unauffaellig
INV-100132,PO-500132,2024-07-07,Zeta Verpackung,Bueromaterial,MAT-1028,152,16.09,2445.68,12,normal,False,False,False,False,False,0.167251647242241,False,unauffaellig
INV-100060,PO-500060,2024-12-25,Epsilon Rohstoffe,Logistik,MAT-1073,79,321.11,25367.69,10,normal,False,False,False,False,False,0.048639500649854006,False,unauffaellig
INV-100212,PO-500212,2024-05-15,Epsilon Rohstoffe,Bueromaterial,MAT-1095,190,15.93,3026.7,13,normal,False,False,False,False,False,0.14790388371258667,False,unauffaellig
INV-100578,PO-500578,2024-01-22,Gamma Logistik AG,Logistik,MAT-1066,112,191.42,21439.04,17,normal,False,False,False,False,False,0.07612874428739969,False,unauffaellig
INV-100333,PO-500333,2024-12-14,Eta Industriebedarf,Bueromaterial,MAT-1015,20,21.29,425.8,22,normal,False,False,False,False,False,0.10227026581734089,False,unauffaellig
INV-DUP-3,PO-500367,2024-04-23,Alpha Components GmbH,Rohmaterial,MAT-1061,108,9.62,1038.96,14,doppelte_rechnung,True,False,False,False,True,0.18271407621745211,False,nur Regel
INV-MV-3,PO-900003,2024-06-13,Beta Metalltechnik,Rohmaterial,MAT-1082,744,16.99,12640.56,56,multivariater_ausreisser,False,True,False,False,True,-0.18665563546640596,True,Regel + ML
INV-100135,PO-500135,2024-09-30,Zeta Verpackung,Bueromaterial,MAT-1034,194,20.46,3969.24,5,normal,False,False,False,False,False,0.09652018260799822,False,unauffaellig
INV-100215,PO-500215,2024-10-25,Eta Industriebedarf,Werkzeuge,MAT-1074,29,15.69,455.01,5,normal,False,False,False,False,False,0.11416201633011835,False,unauffaellig
INV-100514,PO-500514,2024-03-17,Eta Industriebedarf,Logistik,MAT-1083,86,321.78,27673.08,18,normal,False,False,False,False,False,0.04724959288391212,False,unauffaellig
INV-100374,PO-500374,2024-05-23,Gamma Logistik AG,Logistik,MAT-1035,183,443.22,81109.26,22,normal,False,False,False,False,False,-0.10223859691688053,True,nur ML
INV-100444,PO-500444,2024-04-29,Zeta Verpackung,Logistik,MAT-1075,123,219.58,27008.34,15,normal,False,False,False,False,False,0.0805819747131018,False,unauffaellig
INV-100244,PO-500244,2024-04-15,Theta Werkzeuge,Verpackung,MAT-1063,124,2.27,281.48,13,normal,False,False,False,False,False,0.173571971484476,False,unauffaellig
INV-DUP-1,PO-500363,2024-04-05,Gamma Logistik AG,Logistik,MAT-1013,24,284.86,6836.64,10,doppelte_rechnung,True,False,False,True,True,0.08224183523052586,False,nur Regel
INV-100332,PO-500332,2024-02-11,Zeta Verpackung,Verpackung,MAT-1022,40,248.62,9944.68,13,knapp_unter_grenze,False,True,True,True,True,0.09790747906539793,False,nur Regel
INV-100029,PO-500029,2024-08-03,Gamma Logistik AG,Bueromaterial,MAT-1002,122,10.87,1326.14,6,normal,False,False,False,False,False,0.13928452826693938,False,unauffaellig
INV-100302,PO-500302,2024-12-27,Eta Industriebedarf,Rohmaterial,MAT-1088,17,2.4,40.8,10,preisanomalie,False,True,False,False,True,0.1476266593735152,False,nur Regel
INV-100286,PO-500286,2024-12-20,Theta Werkzeuge,Werkzeuge,MAT-1018,52,36.64,1905.28,16,normal,False,False,False,True,True,0.16240574315858314,False,nur Regel
INV-100554,PO-500554,2024-11-29,Epsilon Rohstoffe,Verpackung,MAT-1099,30,2.02,60.6,11,normal,False,False,False,False,False,0.15070369906241332,False,unauffaellig
INV-100291,PO-500291,2024-07-25,Alpha Components GmbH,Rohmaterial,MAT-1027,170,11.01,1871.7,11,normal,False,False,False,False,False,0.15714423811015754,False,unauffaellig
INV-100568,PO-500568,2024-09-20,Beta Metalltechnik,Rohmaterial,MAT-1035,167,10.84,1810.28,12,normal,False,False,False,False,False,0.1662984516497364,False,unauffaellig
INV-100580,PO-500580,2024-08-12,Beta Metalltechnik,Rohmaterial,MAT-1024,86,6.55,563.3,9,normal,False,False,False,False,False,0.16012348023579814,False,unauffaellig
INV-100440,PO-500440,2024-10-19,Theta Werkzeuge,Rohmaterial,MAT-1025,168,9.36,1572.48,11,normal,False,False,False,False,False,0.16110030638628386,False,unauffaellig
INV-100208,PO-500208,2024-07-14,Epsilon Rohstoffe,Werkzeuge,MAT-1071,175,35.37,6189.75,4,normal,False,False,False,False,False,0.0796237810305579,False,unauffaellig
INV-100290,PO-500290,2024-07-26,Eta Industriebedarf,Rohmaterial,MAT-1093,93,8.09,752.37,13,normal,False,False,False,False,False,0.1802052147898181,False,unauffaellig
INV-100319,PO-500319,2024-05-06,Alpha Components GmbH,Werkzeuge,MAT-1009,26,57.61,1497.86,25,normal,False,False,False,False,False,0.043748151957360704,False,unauffaellig
INV-100331,PO-500331,2024-03-19,Epsilon Rohstoffe,Werkzeuge,MAT-1074,106,31.4,3328.4,14,normal,False,False,False,False,False,0.17156660597935286,False,unauffaellig
INV-100192,PO-500192,2024-05-07,Epsilon Rohstoffe,Werkzeuge,MAT-1057,79,48.65,3843.35,10,normal,False,False,False,True,True,0.1570874875984633,False,nur Regel
INV-DUP-8,PO-500445,2024-06-16,Gamma Logistik AG,Elektronik,MAT-1039,67,159.38,10678.46,11,doppelte_rechnung,True,False,False,False,True,0.13161116948121115,False,nur Regel
INV-100443,PO-500443,2024-07-09,Gamma Logistik AG,Elektronik,MAT-1027,108,139.91,15110.28,14,normal,False,False,False,False,False,0.12297622542235415,False,unauffaellig
INV-100380,PO-500380,2024-11-03,Delta Elektronik,Logistik,MAT-1041,173,314.88,54474.24,11,normal,False,False,False,False,False,0.030817650947348563,False,unauffaellig
INV-100304,PO-500304,2024-03-15,Zeta Verpackung,Verpackung,MAT-1054,191,2.63,502.33,13,normal,False,False,False,False,False,0.14715897280124562,False,unauffaellig
INV-100238,PO-500238,2024-03-26,Eta Industriebedarf,Elektronik,MAT-1010,149,114.9,17120.1,7,normal,False,False,False,False,False,0.0889984112065943,False,unauffaellig
INV-100537,PO-500537,2024-10-02,Delta Elektronik,Werkzeuge,MAT-1099,134,56.23,7534.82,17,normal,False,False,False,False,False,0.1453031029360966,False,unauffaellig
INV-100104,PO-500104,2024-10-13,Epsilon Rohstoffe,Elektronik,MAT-1040,61,98.86,6030.46,15,normal,False,False,False,False,False,0.15193912704972312,False,unauffaellig
INV-100114,PO-500114,2024-09-15,Beta Metalltechnik,Logistik,MAT-1023,171,381.83,65292.93,6,normal,False,False,False,False,False,-0.05295708266910715,True,nur ML
INV-100155,PO-500155,2024-06-22,Theta Werkzeuge,Logistik,MAT-1099,172,349.01,60029.72,11,normal,False,False,False,False,False,0.007578256411819528,False,unauffaellig
INV-100221,PO-500221,2024-09-22,Zeta Verpackung,Verpackung,MAT-1046,83,2.1,174.3,11,normal,False,False,False,False,False,0.16937628611305316,False,unauffaellig
